,station_code,station_name,line_num,
역코드,1282,월롱,경의선,호선
역코드,1283,파주,경의선,호선
역코드,1284,문산,경의선,호선
역코드,1285,임진강,경의선,호선
역코드,1305,광운대,경춘선,호선
역코드,1306,청량리,경춘선,호선
역코드,1307,회기,경춘선,호선
역코드,1308,중랑,경춘선,호선
역코드,1309,상봉,경춘선,호선
역코드,1310,망우,경춘선,호선
역코드,1311,신내,경춘선,호선
역코드,1312,갈매,경춘선,호선
역코드,1313,별내,경춘선,호선
역코드,1314,퇴계원,경춘선,호선
역코드,1315,사릉,경춘선,호선
역코드,1316,금곡,경춘선,호선
역코드,1317,평내호평,경춘선,호선
역코드,1318,천마산,경춘선,호선
역코드,1319,마석,경춘선,호선
역코드,1320,대성리,경춘선,호선
역코드,1321,청평,경춘선,호선
역코드,1322,상천,경춘선,호선
역코드,1323,가평,경춘선,호선
역코드,1324,굴봉산,경춘선,호선
역코드,1325,백양리,경춘선,호선
역코드,1326,강촌,경춘선,호선
역코드,1327,김유정,경춘선,호선
역코드,1328,남춘천,경춘선,호선
역코드,1329,춘천,경춘선,호선
역코드,1401,봉명,1,호선
역코드,1402,쌍용,1,호선
역코드,1403,아산,1,호선
역코드,1405,배방,1,호선
역코드,1407,온양온천,1,호선
역코드,1408,신창,1,호선
역코드,1450,선바위,4,호선
역코드,1451,경마공원,4,호선
역코드,1452,대공원,4,호선
역코드,1453,과천,4,호선
역코드,1454,정부과천청사,4,호선
역코드,1455,인덕원,4,호선
역코드,1456,평촌,4,호선
역코드,1457,범계,4,호선
역코드,1458,금정,4,호선
역코드,1501,판교,경강선,호선
역코드,1502,이매,경강선,호선
역코드,1503,삼동,경강선,호선
역코드,1504,경기광주,경강선,호선
역코드,1505,초월,경강선,호선
역코드,1506,곤지암,경강선,호선
역코드,1507,신둔도예촌,경강선,호선
역코드,1508,이천,경강선,호선
역코드,1509,부발,경강선,호선
역코드,1510,세종대왕릉,경강선,호선
역코드,1511,여주,경강선,호선
역코드,1701,구로,1,호선
역코드,1702,가산디지털단지,1,호선
역코드,1703,금천구청,1,호선
역코드,1704,석수,1,호선
역코드,1705,관악,1,호선
역코드,1706,안양,1,호선
역코드,1707,명학,1,호선
역코드,1708,금정,1,호선
역코드,1709,군포,1,호선
역코드,1710,의왕,1,호선
역코드,1711,성균관대,1,호선
역코드,1712,화서,1,호선
역코드,1713,수원,1,호선
역코드,1714,독산,1,호선
역코드,1715,세류,1,호선
역코드,1716,병점,1,호선
역코드,1717,세마,1,호선
역코드,1718,오산대,1,호선
역코드,1719,오산,1,호선
역코드,1720,진위,1,호선
역코드,1721,송탄,1,호선
역코드,1722,서정리,1,호선
역코드,1723,평택지제,1,호선
역코드,1724,평택,1,호선
역코드,1725,성환,1,호선
역코드,1726,직산,1,호선
역코드,1727,두정,1,호선
역코드,1728,천안,1,호선
역코드,1729,당정,1,호선
역코드,1749,서동탄,1,호선
역코드,1750,광명,1,호선
역코드,1751,산본,4,호선
역코드,1752,대야미,4,호선
역코드,1753,반월,4,호선
역코드,1754,상록수,4,호선
역코드,1755,한대앞,4,호선
역코드,1756,중앙,4,호선
역코드,1757,고잔,4,호선
역코드,1758,초지,4,호선
역코드,1759,안산,4,호선
역코드,1760,신길온천,4,호선
역코드,1761,정왕,4,호선
역코드,1762,오이도,4,호선
역코드,1763,수리산,4,호선
역코드,1800,오이도,수인분당선,호선
역코드,1801,개봉,1,호선
역코드,1802,오류동,1,호선
역코드,1803,역곡,1,호선
역코드,1804,부천,1,호선
역코드,1805,송내,1,호선
역코드,1806,부평,1,호선
역코드,1807,백운,1,호선
역코드,1808,동암,1,호선
역코드,1809,주안,1,호선
역코드,1810,제물포,1,호선
역코드,1811,동인천,1,호선
역코드,1812,인천,1,호선
역코드,1813,구일,1,호선
역코드,1814,소사,1,호선
역코드,1815,부개,1,호선
역코드,1816,간석,1,호선
역코드,1817,도원,1,호선
역코드,1821,온수,1,호선
역코드,1822,중동,1,호선
역코드,1823,도화,1,호선
역코드,1830,한대앞,수인분당선,호선
역코드,1831,중앙,수인분당선,호선
역코드,1832,고잔,수인분당선,호선
역코드,1833,초지,수인분당선,호선
역코드,1834,안산,수인분당선,호선
역코드,1835,신길온천,수인분당선,호선
역코드,1836,정왕,수인분당선,호선
역코드,1845,청량리,수인분당선,호선
역코드,1846,수원,수인분당선,호선
역코드,1847,서울숲,수인분당선,호선
역코드,1848,압구정로데오,수인분당선,호선
역코드,1849,강남구청,수인분당선,호선
역코드,1850,선정릉,수인분당선,호선
역코드,1851,가천대,수인분당선,호선
역코드,1852,태평,수인분당선,호선
역코드,1853,모란,수인분당선,호선
역코드,1854,야탑,수인분당선,호선
역코드,1855,서현,수인분당선,호선
역코드,1856,수내,수인분당선,호선
역코드,1857,정자,수인분당선,호선
역코드,1858,미금,수인분당선,호선
역코드,1859,오리,수인분당선,호선
역코드,1860,이매,수인분당선,호선
역코드,1861,보정,수인분당선,호선
역코드,1862,죽전,수인분당선,호선
역코드,1863,구성,수인분당선,호선
역코드,1864,신갈,수인분당선,호선
역코드,1865,기흥,수인분당선,호선
역코드,1866,상갈,수인분당선,호선
역코드,1867,청명,수인분당선,호선
역코드,1868,영통,수인분당선,호선
역코드,1869,망포,수인분당선,호선
역코드,1870,매탄권선,수인분당선,호선
역코드,1871,수원시청,수인분당선,호선
역코드,1872,매교,수인분당선,호선
역코드,1873,고색,수인분당선,호선
